Complaint,DateOccur,Crime,crimeCat,Description,ILEADSAddress,ILEADSStreet,XCoord,YCoord,xyStatus
16-000464,01/03/2016 21:45,32111,Robbery,ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL,3226,UTAH ST,895223.8,1006106,FALSE
16-000469,01/03/2016 23:10,41011,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3200,BAILEY AVE,902097.6,1030117,FALSE
16-001233,01/04/2016 00:55,41011,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5409,BULWER AVE,902858.1,1036961,FALSE
16-000601,01/04/2016 02:00,43013,Aggravated Assault,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,0,LEMP AVE / UTAH ST,900819.8,1005440,FALSE
16-001050,01/04/2016 02:00,21000,Forcible Rape,RAPE -- FORCIBLE,5000,CHIPPEWA ST,0,0,TRUE
16-000478,01/04/2016 02:15,32421,Robbery,ROBBERY-RESIDENCE/STRNGARM/NO INJ/SUCCESS,205,N 18TH ST,904158.9,1018716,FALSE
16-000552,01/04/2016 11:38,43012,Aggravated Assault,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,4621,VIRGINIA AVE,893470.5,997553.1,FALSE
16-000552,01/04/2016 11:38,43012,Aggravated Assault,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,4621,VIRGINIA AVE,893470.5,997553.1,FALSE
16-000593,01/04/2016 15:05,41016,Aggravated Assault,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,0,W FLORISSANT AVE / POPE AVE,898752.8,1036892,FALSE
16-000608,01/04/2016 17:15,34111,Robbery,ROBBERY-CONVEN STOR/FIREARM USED/SUCCESS,3106,CHEROKEE ST,895927.1,1005320,FALSE
16-000610,01/04/2016 18:02,41011,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1500,ACADEMY AVE,887120.6,1030933,FALSE
16-000631,01/04/2016 19:10,42015,Aggravated Assault,ASSLT-AGGRV-KNIFE/CUT-2ND-ADULT-DOMESTIC,1110,S KINGSHIGHWAY BLVD,887564.8,1017599,FALSE
